Game_num,Date,Home_away,Team,Opponent,Game_type,Won,Team_pts,Opp_pts,Team_FG%,Team_3P%,Team_2P%,Team_eFG%,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opponent_FG%,Opponent_3P%,Opponent_2P%,Opponent_eFG%,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF
1,2023-11-06,2,southern-california,kansas-state,REG (Non-Conf),1,82,69,0.517,0.25,0.65,0.558,0.789,8,27,35,17,8,8,18,19,0.31,0.242,0.368,0.366,0.708,19,20,39,14,9,2,17,23
2,2023-11-09,1,southern-california,cal-state-bakersfield,REG (Non-Conf),1,85,59,0.545,0.381,0.647,0.618,0.773,6,22,28,18,11,2,11,10,0.421,0.25,0.488,0.456,0.636,7,19,26,11,7,2,14,20
3,2023-11-14,1,southern-california,uc-irvine,REG (Non-Conf),0,60,70,0.288,0.19,0.342,0.322,0.846,11,27,38,7,4,6,15,14,0.387,0.32,0.432,0.452,0.824,5,25,30,17,6,4,7,20
4,2023-11-19,1,southern-california,brown,REG (Non-Conf),1,81,70,0.429,0.5,0.375,0.536,0.656,12,27,39,12,1,1,12,17,0.41,0.273,0.571,0.484,0.611,10,28,38,14,5,3,9,26
5,2023-11-23,2,southern-california,seton-hall,REG (Non-Conf),1,71,63,0.444,0.435,0.455,0.556,0.778,5,28,33,11,9,13,19,13,0.352,0.188,0.4,0.373,0.833,13,19,32,9,10,3,12,21
6,2023-11-24,2,southern-california,oklahoma,REG (Non-Conf),0,70,72,0.456,0.391,0.5,0.535,0.75,7,19,26,15,6,6,10,14,0.5,0.455,0.526,0.583,0.286,9,22,31,15,5,1,13,10
7,2023-11-29,1,southern-california,eastern-washington,REG (Non-Conf),1,106,78,0.571,0.5,0.615,0.667,0.786,9,24,33,24,6,5,7,19,0.444,0.382,0.517,0.548,0.6,9,18,27,23,2,3,13,21
8,2023-12-02,2,southern-california,gonzaga,REG (Non-Conf),0,76,89,0.47,0.273,0.568,0.515,0.471,14,17,31,12,6,3,10,14,0.523,0.545,0.512,0.615,0.75,11,24,35,17,6,4,12,17
9,2023-12-10,1,southern-california,long-beach-state,REG (Non-Conf),0,79,84,0.406,0.226,0.576,0.461,0.556,16,24,40,17,13,4,18,24,0.421,0.316,0.474,0.474,0.75,9,26,35,13,9,8,16,22
10,2023-12-17,0,southern-california,auburn,REG (Non-Conf),0,75,91,0.4,0.316,0.439,0.45,0.808,10,24,34,9,4,3,15,22,0.475,0.381,0.525,0.541,0.781,9,20,29,18,9,7,7,22
11,2023-12-19,0,southern-california,alabama-state,REG (Non-Conf),1,79,59,0.4,0.37,0.424,0.483,0.75,12,37,49,16,4,6,11,14,0.329,0.296,0.349,0.386,0.556,6,27,33,13,7,7,9,20
12,2023-12-28,0,southern-california,oregon,REG (Conf),0,74,82,0.459,0.333,0.541,0.525,0.667,9,21,30,20,6,4,12,23,0.462,0.4,0.5,0.538,0.813,6,23,29,12,9,1,12,12
13,2023-12-30,0,southern-california,oregon-state,REG (Conf),0,70,86,0.509,0.385,0.63,0.604,0.75,8,9,17,14,10,2,18,26,0.596,0.471,0.667,0.681,0.71,6,19,25,16,9,2,20,15
14,2024-01-03,1,southern-california,california,REG (Conf),1,82,74,0.532,0.393,0.647,0.621,0.714,5,24,29,29,7,3,13,10,0.459,0.387,0.533,0.557,0.667,6,22,28,21,10,1,12,15
15,2024-01-06,1,southern-california,stanford,REG (Conf),1,93,79,0.478,0.56,0.429,0.582,0.625,9,20,29,18,13,7,6,10,0.527,0.591,0.485,0.645,0.8,4,26,30,24,3,5,18,17
