Rk,Game_num,Date,Home_away_raw,Opponent,Game_type,Result,Team_pts,Opp_pts,OT,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_2P,Team_2PA,Team_2P%,Team_eFG%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opponent_FG,Opponent_FGA,Opponent_FG%,Opponent_3P,Opponent_3PA,Opponent_3P%,Opponent_2P,Opponent_2PA,Opponent_2P%,Opponent_eFG%,Opponent_FT,Opponent_FTA,Opponent_FT%,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Team,Won,Home_away
1,1,2024-11-04,,chattanooga,REG (Non-Conf),W,77,51,,32,64,0.5,8,25,0.32,24,39,0.615,0.563,5,7,0.714,8,24,32,21,9,3,9,17,15,54,0.278,6,34,0.176,9,20,0.45,0.333,15,19,0.789,11,20,31,13,6,2,13,13,southern-california,1,1
2,2,2024-11-07,,idaho-state,REG (Non-Conf),W,75,69,,24,56,0.429,5,20,0.25,19,36,0.528,0.473,22,34,0.647,9,14,23,20,6,3,6,23,21,45,0.467,4,12,0.333,17,33,0.515,0.511,23,30,0.767,9,25,34,12,0,5,17,26,southern-california,1,1
3,3,2024-11-13,,ut-arlington,REG (Non-Conf),W,98,95,,35,63,0.556,6,18,0.333,29,45,0.644,0.603,22,27,0.815,3,19,22,22,6,3,10,21,30,53,0.566,16,24,0.667,14,29,0.483,0.717,19,23,0.826,2,24,26,24,5,0,16,26,southern-california,1,1
4,4,2024-11-17,,california,REG (Non-Conf),L,66,71,,25,57,0.439,6,21,0.286,19,36,0.528,0.491,10,14,0.714,7,20,27,10,4,1,10,16,27,55,0.491,7,21,0.333,20,34,0.588,0.555,10,13,0.769,7,23,30,10,4,4,13,17,southern-california,0,1
5,5,2024-11-20,,san-jose-state,REG (Non-Conf),W,82,68,,32,56,0.571,10,22,0.455,22,34,0.647,0.661,8,9,0.889,8,26,34,23,6,3,10,11,26,62,0.419,11,23,0.478,15,39,0.385,0.508,5,7,0.714,10,16,26,18,7,1,9,10,southern-california,1,1
6,6,2024-11-24,,grambling-state,REG (Non-Conf),W,80,69,,25,50,0.5,7,21,0.333,18,29,0.621,0.57,23,33,0.697,9,22,31,17,6,2,13,13,25,55,0.455,7,22,0.318,18,33,0.545,0.518,12,14,0.857,6,22,28,14,9,3,12,24,southern-california,1,1
7,7,2024-11-28,N,st-marys-ca,REG (Non-Conf),L,36,71,,13,50,0.26,0,12,0.0,13,38,0.342,0.26,10,12,0.833,4,16,20,6,4,3,10,13,30,59,0.508,3,14,0.214,27,45,0.6,0.534,8,12,0.667,9,33,42,13,6,4,10,14,southern-california,0,2
8,8,2024-11-30,N,new-mexico,REG (Non-Conf),L,73,83,,27,55,0.491,7,17,0.412,20,38,0.526,0.555,12,18,0.667,6,23,29,13,11,0,15,18,30,58,0.517,7,21,0.333,23,37,0.622,0.578,16,24,0.667,9,19,28,17,8,5,14,14,southern-california,0,2
9,9,2024-12-04,,oregon,REG (Conf),L,60,68,,19,55,0.345,2,13,0.154,17,42,0.405,0.364,20,26,0.769,9,21,30,9,6,5,13,21,21,55,0.382,8,23,0.348,13,32,0.406,0.455,18,24,0.75,11,19,30,13,9,7,14,21,southern-california,0,1
10,10,2024-12-07,@,washington,REG (Conf),W,85,61,,32,50,0.64,7,16,0.438,25,34,0.735,0.71,14,17,0.824,2,28,30,12,6,7,12,18,22,56,0.393,5,19,0.263,17,37,0.459,0.438,12,21,0.571,9,15,24,13,4,1,14,17,southern-california,1,0
